Oxoglutaric acid;TCA cycle, Urea Cycle, Arginine, Proline, Alanine, Cysteine, Glutamine, Glycene, Serine, Tyrosine and Phenylalanine metabolism, Oxidation of BCFA, Warburg effect, Gluconeogenesis (glucose biosynthesis);is dexarboxlated to succinyl-CoA
Alanine;Alanine, Glycene/Serine, Threonine metabolism, Urea cycle, Transcription/Translation;pyruvate derivative
Ascorbic acid;Oxidation of BCFA,  Tyr metabolism, Cathecolamine and carnitine biosynthesis;NA
Asparagine;Ammonia recycling, Transcription/Translation, Asp metabolism;Aspartate and glutamate derivative, 
Aspartic acid;Urea cycle, Gluconeogenesis (glucose biosynthesis), neurotransmitter, malate-aspartate shuttle with malic acid derivative oxaloacetate (purin precursor inosine created esential for DNA synthesis).;Glutamic acid derivative
Citric acid;TCA cycle, antioxidant, coagulant, acidulant;MMM
Fructose;Fructolysis (phgdh), here intracellular phoshpate decrease stimulates AMP deaminase (AMPD), which catalyzes the degradation of AMP to inosine monophosphate, increasing the rate of purine degradation, this produces uric acid and generates mitochondrial oxidants.;Succrose
Fumaric acid;TCA cycle;Succinic acid derivative, dimethyl fumarate effective against multiple sclerosis
Glucose;Glucolysis;Energy source
Glutamic acid;Urea cycle, TCA cycle, interconnecting these by conversion of 5PC  from proline or ornithine to glutamate, acidemia, Ala, Asp, Cys, His, Glutamate metabolism, Malate-aspare shuttle;Derivative of Ala, or Asp via alpha-ketoglutarate
Glutamine;Urea cycle, Glutamate, Asp, Purine, Pyrimidine metabolism, Transcription/Translation, Warburg-effect;Derivative of Glutamic acid,
Glycine;1 Carbon metabolism, glycene synthase pathway, , Alanine metabolism, Ammonia recycling, Arginine and proline metabolism, Bile acid biosynthesis, Carnitine synthesis, Glutamate metabolism, Glutathione metabolism, Glycine and serine metabolism, Methionine metabolism, Porphyrin metabolism, Purine metabolism;Glycine is biosynthesized in the body from the amino acid serine, and can also be derived from threonine, choline or hydroxyproline and is degredaded  into carbon dioxide and ammonia and  into carbon dioxide and ammonia. Glycine is involved in the body's production of DNA, hemoglobin, and collagen, and in the release of energy. It is a protein precursor contributing significantly to collagen. it contributes the central C2N element to adenine and guanine (purin bases), and is a an inhibitory neurotransmitter in the central nervous system.
Isoleucine;TCA cycle;synthesized starting from pyruvate and alpha-ketobutyrate, both a glucogenic and a ketogenic. It can be split into propionyl-CoA and acetyl-CoA. Propionyl-CoA is converted into succinyl-CoA which can be converted into oxaloacetate for gluconeogenesis. Associated with insulin resistance.
Leucine;protien synthesis;primary metabolic end products of leucine metabolism are acetyl-CoA and acetoacetate. Can be degraded into to isovaleryl-CoA. Can stimulate protein synthesis through mTOR. low leucine levels can result in decreased appetite, poor feeding, lethargy, poor growth, weight loss, skin rashes, hair loss, and desquamation.
Lysine;proteinogenesis, crosslinking of collagen peptides, uptake of essential mineral nutrients, production of carnitine, histone modification (epigenome impact), , Biotin metabolism, Carnitine synthesis, Lysine degradation, Transcription/translation;Requirements for lysine are probably increased by stress. Excess arginine antagonizes lysine. lysine is suspected to have an effect on the uptake of iron
Malic acid;Gluconeogenesis (glucose biosynthesis), Malate-aspartate shuttle, Oncogenic action of fumarate;Succinic acid derivative
Maltose;Geroprotector, Starch metabolism;Degrades into glucose.
Methionine;Betaine metabolism,Glycine and serine metabolism,Methionine metabolism,,Spermidine and spermine biosynthesis, Transcription/translation;a substrate for protein synthesis, methionine is an intermediate in transmethylation reactions, serving as the major methyl group donor in vivo, including the methyl groups for DNA and RNA intermediates. Methionine is the metabolic precursor for cysteine
Ornithine;urea cycle, one-carbon donor;Arginine derivative
Phenylalanine;Phenylalanine and Tyrosine Metabolism;precursor of the amino acid tyrosine and  catecholamines including tyramine, dopamine, epinephrine, and norepinephrine. Levels are (almost uniquely, with Tyr, among amino-acids) high during chronic inflammation or infections, as well those suffering from sepsis or septic shock. In particular, inflammation‐induced production of reactive oxygen species (ROS) may consume a significant portion of BH4, thereby leaving phenylalanine unmetabolized.
Proline;Arginine and proline metabolism;Proline is derived from the amino acid L-glutamate or ornithine
Putrescine;Growth factor, apoptosis, 1-carbon donor;Arginine derivative
Serine;Nitrogen, Sucrose, Glycene, Serine, Methionine, Threonine metabolism, Phosphatidylethanolamine biosynthesis;derived from 3-phosphoglycerate or through  Phosphohydroxypyruvate. Regulated in response to dietary and hormona changes. Essential for cell proliferation and certain demands of the CNS. 
Succinic acid;TCA cycle, hypoxic response - couples citric acid cycle and the respiratory chain, both being essential for oxidative phosphorylation.;Degrages into fumarate.  it is involved in a macrophage-specific metabolic pathway generating itaconate, and is also a downstream product of the α-ketoglutarate dehydrogenase complex. Is involved in proteins post-transalational regulation (succynilation). Generated in the mytochondria from tricarboxylic acid. contributes to ROS formation
Threonine;protein synthesis, Glycine, serine and threonine metabolism, transcription/translation;can be converted to pyruvate or acetyl-CoA and Glycene
Tryptophan;Transcription/translation, Tryptophan metabolism;tryptophan is converted into 5-hydroxytryptophan (5-HTP) which is then converted into the neurotransmitter serotonin. Immediate breakdown products include: glutaric acid, glutaryl-CoA, 3-hydroxyglutaric acid, glutaconic acid
Tyrosine;Catecholamine biosynthesis,  Phenylalanine and tyrosine metabolism, Thyroid hormone synthesis, Transcription/translation, Tyrosine metabolism;Phenylalanine derivative, precursos of adrenaline and dopamine in brain. Higher during sepsis
Valine;Propanoate metabolism, Transcription/translation;degraded into alpha-ketoisovalerate,  isobutyryl-CoA, succynil-CoA
myo-Inositol;Galactose metabolism, Inositol metabolism, Inositol phosphate metabolism, Phosphatidylinositol phosphate metabolism;Derivative of Glucose,  Myo-inositol 1-phosphate
Cysteine;cysteine has antioxidant properties, and implicated in phgdh definiency, cysteine, glutamate, glutathione, methionine and taurine metabolism, transcription translation ;Derivative of Cystine, Precursor of anti-oxidant glutathione,  serves as a substrate for the cystine-glutamate antiporter
